Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z,Winning Percentage,Playoff outcome,previous_winning_percentage,average_future_winning_percentage_2,average_future_winning_percentage_3,average_future_winning_percentage_4,average_future_winning_percentage_5,average_future_winning_percentage_6,average_future_winning_percentage_8,average_future_winning_percentage_10,average_future_winning_percentage_12,average_future_playoff_success_2,average_future_playoff_success_3,average_future_playoff_success_4,average_future_playoff_success_5,average_future_playoff_success_6,average_future_playoff_success_8,average_future_playoff_success_10,average_future_playoff_success_12,change_in_winning_percentage_2,change_in_winning_percentage_3,change_in_winning_percentage_4,change_in_winning_percentage_5,change_in_winning_percentage_6,change_in_winning_percentage_8,change_in_winning_percentage_10,change_in_winning_percentage_12
HOU,2022,1,3,-2,140.0,3.6661906817370515,0.5193896214877216,0.6661906817370515,1.5136782925467163,0.4401137844265485,0.268,0,0.244,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02400000000000002,0.02400000000000002,0.02400000000000002,0.02400000000000002,0.02400000000000002,0.02400000000000002,0.02400000000000002,0.02400000000000002
ORL,2022,2,1,1,140.0,3.864516224643588,0.5193896214877216,2.864516224643588,1.7260566067255885,1.6595725849789547,0.415,0,0.268,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14699999999999996,0.14699999999999996,0.14699999999999996,0.14699999999999996,0.14699999999999996,0.14699999999999996,0.14699999999999996,0.14699999999999996
DET,2022,3,5,-2,140.0,4.062841767550109,0.5193896214877216,-0.9371582324498906,1.9301722238537087,-0.485530887279476,0.207,0,0.28,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07300000000000004,-0.07300000000000004,-0.07300000000000004,-0.07300000000000004,-0.07300000000000004,-0.07300000000000004,-0.07300000000000004,-0.07300000000000004
IND,2022,5,6,-1,115.0,4.833291388329727,0.4497944104495967,-1.1667086116702734,2.3317431644837843,-0.5003589715373162,0.427,0,0.305,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122
POR,2022,6,7,-1,90.0,5.532444871527917,0.37046988847342854,-1.4675551284720827,2.4867028176263797,-0.590161042996244,0.402,0,0.329,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.07300000000000001,0.07300000000000001
SAC,2022,7,4,3,75.0,6.220128573375712,0.31798934800661227,2.220128573375712,2.6576049964152917,0.8353869654709148,0.585,1,0.366,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.21899999999999997,0.21899999999999997
LAL,2022,8,8,0,45.0,7.454175128752768,0.20181032425112705,-0.5458248712472322,2.567546748491433,-0.21258614728940484,0.524,3,0.402,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122
SAS,2022,9,9,0,45.0,8.080708617960235,0.20181032425112705,-0.9192913820397646,2.8534723252811385,-0.3221658657401527,0.268,0,0.415,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14699999999999996,-0.14699999999999996,-0.14699999999999996,-0.14699999999999996,-0.14699999999999996,-0.14699999999999996,-0.14699999999999996,-0.14699999999999996
NYK,2022,11,11,0,18.0,10.435289788757245,0.08457673644283376,-0.5647102112427547,2.4205483156807235,-0.23329846695662546,0.573,2,0.451,0.573,0.573,0.573,0.573,0.573,0.573,0.573,0.573,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.12199999999999994,0.12199999999999994,0.12199999999999994,0.12199999999999994,0.12199999999999994,0.12199999999999994,0.12199999999999994,0.12199999999999994
LAC,2022,12,12,0,17.0,11.318414466864331,0.08000997019770896,-0.681585533135669,2.5927390178547616,-0.2628824299098235,0.537,1,0.512,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022
