Year,Team,Winning Percentage,Playoff outcome,previous_winning_percentage,average_future_winning_percentage_2,average_future_winning_percentage_3,average_future_winning_percentage_4,average_future_winning_percentage_5,average_future_winning_percentage_6,average_future_winning_percentage_8,average_future_winning_percentage_10,average_future_winning_percentage_12,average_future_playoff_success_2,average_future_playoff_success_3,average_future_playoff_success_4,average_future_playoff_success_5,average_future_playoff_success_6,average_future_playoff_success_8,average_future_playoff_success_10,average_future_playoff_success_12
1984,ATL,0.415,0,,0.5125,0.5733333333333333,0.5825,0.5928,0.5773333333333334,0.556375,0.567,0.5619166666666666,1.0,1.3333333333333333,1.5,1.4,1.1666666666666667,1.0,1.1,1.1666666666666667
1985,ATL,0.61,2,0.415,0.6525,0.6383333333333332,0.63725,0.6098,0.5955,0.57,0.5767,0.58425,2.0,2.0,1.75,1.4,1.3333333333333333,1.125,1.2,1.3333333333333333
1986,ATL,0.695,2,0.61,0.6525,0.6463333333333333,0.60975,0.5926,0.5710000000000001,0.580625,0.5718,0.58425,2.0,1.6666666666666667,1.25,1.2,1.0,1.125,1.2,1.25
1987,ATL,0.61,2,0.695,0.622,0.5813333333333333,0.567,0.5462,0.5425,0.55775,0.5706,0.578,1.5,1.0,1.0,0.8,0.8333333333333334,1.0,1.2,1.25
1988,ATL,0.634,1,0.61,0.567,0.5526666666666666,0.53025,0.529,0.5566666666666666,0.551625,0.5706,0.5555833333333333,0.5,0.6666666666666666,0.5,0.6,0.8333333333333334,1.0,1.1,1.0833333333333333
1989,ATL,0.5,0,0.634,0.512,0.4956666666666667,0.50275,0.5412,0.5363333333333333,0.55775,0.5692,0.5281666666666667,0.5,0.3333333333333333,0.5,0.8,0.8333333333333334,1.125,1.2,1.0
1990,ATL,0.524,1,0.5,0.49350000000000005,0.5036666666666667,0.5515,0.5436,0.5465,0.5715,0.5532999999999999,0.52,0.5,0.6666666666666666,1.0,1.0,1.1666666666666667,1.25,1.2,1.0
1991,ATL,0.463,0,0.524,0.49350000000000005,0.5606666666666666,0.5485,0.5509999999999999,0.5730000000000001,0.5835,0.5314,0.5119166666666667,0.5,1.0,1.0,1.2,1.3333333333333333,1.375,1.1,0.9166666666666666
1992,ATL,0.524,1,0.463,0.6094999999999999,0.577,0.573,0.595,0.5975,0.56825,0.5253,0.50175,1.5,1.3333333333333333,1.5,1.6,1.5,1.375,1.1,0.9166666666666666
1993,ATL,0.695,2,0.524,0.6034999999999999,0.5893333333333333,0.61275,0.6122,0.6135,0.540875,0.5156,0.4713333333333334,1.5,1.6666666666666667,1.75,1.6,1.6666666666666667,1.25,1.0,0.8333333333333334
1994,ATL,0.512,1,0.695,0.5365,0.5853333333333334,0.5915,0.5972000000000001,0.5545,0.50425,0.48020000000000007,0.4398333333333333,1.5,1.6666666666666667,1.5,1.6,1.3333333333333333,1.0,0.8,0.6666666666666666
1995,ATL,0.561,2,0.512,0.6220000000000001,0.618,0.6185,0.563,0.52,0.493625,0.44489999999999996,0.4276666666666667,2.0,1.6666666666666667,1.75,1.4,1.1666666666666667,0.875,0.7,0.5833333333333334
1996,ATL,0.683,2,0.561,0.6465000000000001,0.6376666666666667,0.5635,0.5118,0.49350000000000005,0.466125,0.4205,0.41850000000000004,1.5,1.6666666666666667,1.25,1.0,0.8333333333333334,0.625,0.5,0.5
1997,ATL,0.61,1,0.683,0.615,0.5236666666666666,0.469,0.4556,0.45083333333333325,0.400625,0.3888,0.4093333333333333,1.5,1.0,0.75,0.6,0.5,0.375,0.3,0.5
1998,ATL,0.62,2,0.61,0.48050000000000004,0.422,0.417,0.41899999999999993,0.40599999999999997,0.364,0.3729,0.4123333333333334,1.0,0.6666666666666666,0.5,0.4,0.3333333333333333,0.25,0.3,0.5833333333333334
1999,ATL,0.341,0,0.62,0.32300000000000006,0.34933333333333333,0.36875,0.3632,0.32916666666666666,0.33225,0.36819999999999997,0.4054166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5833333333333334
2000,ATL,0.305,0,0.341,0.35350000000000004,0.37799999999999995,0.36875,0.3268,0.32516666666666666,0.346,0.3987,0.4275,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.6666666666666666
2001,ATL,0.402,0,0.305,0.41450000000000004,0.38999999999999996,0.33225,0.3292,0.3353333333333333,0.3795,0.42190000000000005,0.44683333333333336,0.0,0.0,0.0,0.0,0.0,0.375,0.7,0.75
2002,ATL,0.427,0,0.402,0.384,0.309,0.311,0.322,0.34349999999999997,0.41,0.4423,0.4519166666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.625,0.8,0.8333333333333334
2003,ATL,0.341,0,0.427,0.25,0.2723333333333333,0.29575,0.32680000000000003,0.3678333333333333,0.42375,0.4532999999999999,0.47733333333333333,0.0,0.0,0.0,0.2,0.5,0.875,0.9,1.0833333333333333
